"","campaign","name","keywords","",""
"180","SEM_Campaign","Kapunga Taichin","quality kapunga taichin delicious","Exact","Quality;Delicious"
"181","SEM_Campaign","Kapunga Taichin","quality kapunga taichin delicious","Phrase","Quality;Delicious"
"182","SEM_Campaign","Kapunga Taichin","+quality +kapunga +taichin +delicious","Broad","Quality;Delicious"
"183","SEM_Campaign","Kapunga Taichin","quality kapunga taichin low effort","Exact","Quality;Low Effort"
"184","SEM_Campaign","Kapunga Taichin","quality kapunga taichin low effort","Phrase","Quality;Low Effort"
"185","SEM_Campaign","Kapunga Taichin","+quality +kapunga +taichin +low +effort","Broad","Quality;Low Effort"
"186","SEM_Campaign","Kapunga Taichin","quality delicious kapunga taichin","Exact","Quality;Delicious"
"187","SEM_Campaign","Kapunga Taichin","quality delicious kapunga taichin","Phrase","Quality;Delicious"
"188","SEM_Campaign","Kapunga Taichin","+quality +delicious +kapunga +taichin","Broad","Quality;Delicious"
"189","SEM_Campaign","Kapunga Taichin","quality low effort kapunga taichin","Exact","Quality;Low Effort"
"190","SEM_Campaign","Kapunga Taichin","quality low effort kapunga taichin","Phrase","Quality;Low Effort"
"191","SEM_Campaign","Kapunga Taichin","+quality +low +effort +kapunga +taichin","Broad","Quality;Low Effort"
"192","SEM_Campaign","Kapunga Taichin","delicious kapunga taichin quality","Exact","Delicious;Quality"
"193","SEM_Campaign","Kapunga Taichin","delicious kapunga taichin quality","Phrase","Delicious;Quality"
"194","SEM_Campaign","Kapunga Taichin","+delicious +kapunga +taichin +quality","Broad","Delicious;Quality"
"195","SEM_Campaign","Kapunga Taichin","delicious kapunga taichin low effort","Exact","Delicious;Low Effort"
"196","SEM_Campaign","Kapunga Taichin","delicious kapunga taichin low effort","Phrase","Delicious;Low Effort"
"197","SEM_Campaign","Kapunga Taichin","+delicious +kapunga +taichin +low +effort","Broad","Delicious;Low Effort"
"198","SEM_Campaign","Kapunga Taichin","delicious quality kapunga taichin","Exact","Delicious;Quality"
"199","SEM_Campaign","Kapunga Taichin","delicious quality kapunga taichin","Phrase","Delicious;Quality"
"200","SEM_Campaign","Kapunga Taichin","+delicious +quality +kapunga +taichin","Broad","Delicious;Quality"
"201","SEM_Campaign","Kapunga Taichin","delicious low effort kapunga taichin","Exact","Delicious;Low Effort"
"202","SEM_Campaign","Kapunga Taichin","delicious low effort kapunga taichin","Phrase","Delicious;Low Effort"
"203","SEM_Campaign","Kapunga Taichin","+delicious +low +effort +kapunga +taichin","Broad","Delicious;Low Effort"
"204","SEM_Campaign","Kapunga Taichin","low effort kapunga taichin quality","Exact","Low Effort;Quality"
"205","SEM_Campaign","Kapunga Taichin","low effort kapunga taichin quality","Phrase","Low Effort;Quality"
"206","SEM_Campaign","Kapunga Taichin","+low +effort +kapunga +taichin +quality","Broad","Low Effort;Quality"
"207","SEM_Campaign","Kapunga Taichin","low effort kapunga taichin delicious","Exact","Low Effort;Delicious"
"208","SEM_Campaign","Kapunga Taichin","low effort kapunga taichin delicious","Phrase","Low Effort;Delicious"
"209","SEM_Campaign","Kapunga Taichin","+low +effort +kapunga +taichin +delicious","Broad","Low Effort;Delicious"
"210","SEM_Campaign","Kapunga Taichin","low effort quality kapunga taichin","Exact","Low Effort;Quality"
"211","SEM_Campaign","Kapunga Taichin","low effort quality kapunga taichin","Phrase","Low Effort;Quality"
"212","SEM_Campaign","Kapunga Taichin","+low +effort +quality +kapunga +taichin","Broad","Low Effort;Quality"
"213","SEM_Campaign","Kapunga Taichin","low effort delicious kapunga taichin","Exact","Low Effort;Delicious"
"214","SEM_Campaign","Kapunga Taichin","low effort delicious kapunga taichin","Phrase","Low Effort;Delicious"
"215","SEM_Campaign","Kapunga Taichin","+low +effort +delicious +kapunga +taichin","Broad","Low Effort;Delicious"
